"","sample_name","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat","NCBI_host_subject_ID"
"292","P19N278","278172307","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Turkey_Hill","11",NA,"12",23,26.4,59,5,"Fledged","","Turkey_Hill_11_2019","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control","Day_12_nestling_278172307_12"
"293","P19N340","278172233","2019","Adult","F","18-Jun-19","TRES","Ithaca","Unit_1","86","3","SY",16.75,28.5,116,NA,"","","Unit_1_86_2019","Color_Stress","Cont_Con",45,4,"Fledged",11.25,"Color_Stress_Cont_Con","Adult_278172233_18-Jun-19"
"294","P19N442","281128444","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","54",NA,"12",18,24.2,51,6,"Fledged","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Day_12_nestling_281128444_12"
"295","P19N499","278172337","2019","Nestling","Unknown","30-Jun-19","TRES","Ithaca","Unit_4","15",NA,"12",17.5,25.4,52,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Day_12_nestling_278172337_12"
"296","L19N011a",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_6_nestling_Unit_4_80_2019_L19N011a"
"297","P19N131","281128709","2019","Nestling","Unknown","06-Jun-19","TRES","Ithaca","Unit_2","111",NA,"12",15.5,24.8,47,5,"Died","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Day_12_nestling_281128709_12"
"298","P19N135","278172164","2019","Adult","M","07-Jun-19","TRES","Ithaca","Unit_2","80","1","AHY",18,29,122,NA,"","","Unit_2_80_2019","Color_Stress","Cont_Dul",70,6,"Fledged",11.6666666666667,"Color_Stress_Cont_Dul","Adult_278172164_07-Jun-19"
"299","P19N190","281128723","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",21,25.7,48,6,"Fledged","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Day_12_nestling_281128723_12"
"300","P19N298","278172318","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","97",NA,"12",19.5,25.6,55,5,"Fledged","","Unit_4_97_2019","Light","Light",67.27,5,"Fledged",13.454,"Light_Light","Day_12_nestling_278172318_12"
"301","P19N404","278171893","2019","Adult","M","21-Jun-19","TRES","Ithaca","Unit_1","83","1","AHY",18.5,29,117,NA,"","","Unit_1_83_2019","Color_Stress","Cont_Dul",20,2,"Died",10,"Color_Stress_Cont_Dul","Adult_278171893_21-Jun-19"
"302","P19N507","281128781","2019","Nestling","Unknown","05-Jul-19","TRES","Ithaca","Unit_2","50",NA,"12",21,25.5,55,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_12_nestling_281128781_12"
"303","L19N012c",NA,"2019","Nestling",NA,"13-Jun-19","TRES","Ithaca","Unit_4","87",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_6_nestling_Unit_4_87_2019_L19N012c"
"304","P19N120","278172162","2019","Adult","F","05-Jun-19","TRES","Ithaca","Unit_2","34","1","SY",22,28.3,116,NA,"","","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Adult_278172162_05-Jun-19"
"305","P19N143","272106728","2019","Adult","F","07-Jun-19","TRES","Ithaca","Unit_2","54","2","ASY",20.25,NA,NA,NA,"","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Adult_272106728_07-Jun-19"
"306","P19N254","281128736","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","20",NA,"12",20.5,25.8,55,4,"Fledged","","Unit_2_20_2019","Color_Stress","Cont_Con",47,4,"Fledged",11.75,"Color_Stress_Cont_Con","Day_12_nestling_281128736_12"
"307","P19N305","278172437","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"12",16,23.7,37,5,"Fledged","","Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Day_12_nestling_278172437_12"
"308","P19N495","281128773","2019","Adult","M","29-Jun-19","TRES","Ithaca","Unit_2","50","1","AHY",19.75,27.7,124,NA,"","","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Adult_281128773_29-Jun-19"
"309","P19NB18",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB18"
"310","L19N015c",NA,"2019","Nestling",NA,"15-Jun-19","TRES","Ithaca","Unit_4","93",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_93_2019","Light","Light",55.3,4,"Fledged",13.825,"Light_Light","Day_6_nestling_Unit_4_93_2019_L19N015c"
"311","L19N020c",NA,"2019","Nestling",NA,"24-Jun-19","TRES","Ithaca","Unit_4","15",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Day_6_nestling_Unit_4_15_2019_L19N020c"
"312","P19N069","278172229","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","393","1","SY",20.5,28.9,115,NA,"","","Unit_1_393_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172229_31-May-19"
"313","P19N150","272107361","2019","Adult","F","08-Jun-19","TRES","Ithaca","Unit_2","31","2","SY",20.5,NA,NA,NA,"","","Unit_2_31_2019","Color_Stress","Cont_Dul",36,4,"Fledged",9,"Color_Stress_Cont_Dul","Adult_272107361_08-Jun-19"
"314","P19N274","278172306","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Unit_2","94",NA,"12",11.75,21.5,28.5,4,"Died","","Unit_2_94_2019","Color_Stress","Pred_Con",73,6,"Died",12.1666666666667,"Color_Stress_Pred_Con","Day_12_nestling_278172306_12"
"315","P19N355","278172446","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","80",NA,"12",21.5,25.8,56,6,"Fledged","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_12_nestling_278172446_12"
"316","L19N018c",NA,"2019","Nestling",NA,"19-Jun-19","TRES","Ithaca","Unit_4","61",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Day_6_nestling_Unit_4_61_2019_L19N018c"
"317","P19N083","281128702","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_1","65","1","SY",21.25,28.7,114,NA,"","","Unit_1_65_2019","Color_Stress","Pred_Con",NA,NA,"Died",NA,"Color_Stress_Pred_Con","Adult_281128702_01-Jun-19"
"318","P19N159","281128604","2019","Adult","F","09-Jun-19","TRES","Ithaca","Unit_2","114","1","SY",21,28.4,118,NA,"","","Unit_2_114_2019","Color_Stress","Cont_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Dul","Adult_281128604_09-Jun-19"
"319","P19N286","278171889","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_2","109",NA,"15",15,NA,NA,5,"Fledged","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul","Day_15_nestling_278171889_15"
"320","P19N363","278172455","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Turkey_Hill","51",NA,"12",22,24.8,48,4,"Fledged","","Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control","Day_12_nestling_278172455_12"
"321","P19N471","281128438","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","31",NA,"15",18.75,NA,NA,4,"Fledged","","Unit_2_31_2019","Color_Stress","Cont_Dul",36,4,"Fledged",9,"Color_Stress_Cont_Dul","Day_15_nestling_281128438_15"
"322","P19N092","262126105","2019","Adult","M","02-Jun-19","TRES","Ithaca","Unit_2","122","1","AHY",23.5,29.6,121,NA,"","","Unit_2_122_2019","Color_Stress","Pred_Con",64,5,"Died",12.8,"Color_Stress_Pred_Con","Adult_262126105_02-Jun-19"
"323","P19N378","278172464","2019","Nestling","Unknown","19-Jun-19","TRES","Ithaca","Unit_4","87",NA,"12",21.5,26.4,52,5,"Fledged","","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_12_nestling_278172464_12"
"324","P19N415","281128767","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_2","9",NA,"12",18,23.6,35,3,"Died","","Unit_2_9_2019","Color_Stress","Pred_Dul",22,3,"Fledged",7.33333333333333,"Color_Stress_Pred_Dul","Day_12_nestling_281128767_12"
"325","P19N481","278172290","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","72",NA,"12",21.5,25.5,56,5,"Fledged","Fecal sample number was originally recorded 100 lower than it should have been. Nestlings injected with expired dex.","Unit_2_72_2019","Color_Stress","Pred_Con",59,5,"Fledged",11.8,"Color_Stress_Pred_Con","Day_12_nestling_278172290_12"
"326","P19NB8",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB8"
"327","P19NB22",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB22"
"328","P19N102","278172232","2019","Adult","F","03-Jun-19","TRES","Ithaca","Unit_1","134","1","SY",22.5,27.9,116,NA,"","","Unit_1_134_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul","Adult_278172232_03-Jun-19"
"329","P19N192","212110294","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_1","90","3","ASY",17.75,27.7,113,NA,"","Telomere sample taken (needlessly), but left in fridge overnight","Unit_1_90_2019","Color_Stress","Pred_Con",52,5,"Died",10.4,"Color_Stress_Pred_Con","Adult_212110294_11-Jun-19"
"330","P19N227","278172259","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",21,26.2,53,6,"Fledged","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control","Day_12_nestling_278172259_12"
"331","P19N326","278172279","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Unit_2","116",NA,"15",17,NA,NA,5,"Fledged","Microb not fully inserted","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con","Day_15_nestling_278172279_15"
"332","P19N397","278172466","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_4","93",NA,"12",24,26.2,52,4,"Fledged","","Unit_4_93_2019","Light","Light",55.3,4,"Fledged",13.825,"Light_Light","Day_12_nestling_278172466_12"
"333","P19N490","281128770","2019","Nestling","Unknown","27-Jun-19","TRES","Ithaca","Unit_2","34",NA,"15",20,NA,NA,4,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Day_15_nestling_281128770_15"
"334","P19N110","272107786","2019","Adult","F","04-Jun-19","TRES","Ithaca","Unit_2","103","3","ASY",18.5,28,117,NA,"","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Adult_272107786_04-Jun-19"
"335","P19N205","281128726","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_2","117","1","AHY",20,26.1,120,NA,"","","Unit_2_117_2019","Color_Stress","Pred_Dul",51,6,"Fledged",8.5,"Color_Stress_Pred_Dul","Adult_281128726_12-Jun-19"
"336","P19N234","281128719","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","35",NA,"15",14,NA,NA,4,"Died","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul","Day_15_nestling_281128719_15"
"337","P19N343","281128744","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_1","105",NA,"15",16.5,NA,NA,4,"Fledged","","Unit_1_105_2019","Color_Stress","Pred_Dul",65,5,"Fledged",13,"Color_Stress_Pred_Dul","Day_15_nestling_281128744_15"
"338","P19N516","281128781","2019","Nestling","Unknown","08-Jul-19","TRES","Ithaca","Unit_2","50",NA,"15",19.5,NA,NA,3,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_15_nestling_281128781_15"
"339","P19NB3",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB3"
"340","L19N019c",NA,"2019","Nestling",NA,"20-Jun-19","TRES","Ithaca","Unit_4","84",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_84_2019","Light","Light_Control",84.4,5,"Fledged",16.88,"Light_Light_Control","Day_6_nestling_Unit_4_84_2019_L19N019c"
"341","P19N006","212110278","2019","Adult","F","21-May-19","TRES","Ithaca","Unit_1","349","1","ASY",21.75,28.7,115,NA,"","","Unit_1_349_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_212110278_21-May-19"
"342","P19N242","278172270","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",16.5,24.5,50,7,"Fledged","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con","Day_12_nestling_278172270_12"
"343","P19N351","281128510","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_2","3",NA,"12",23.5,24.4,55.5,5,"Fledged","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Day_12_nestling_281128510_12"
"344","P19N463","278172491","2019","Nestling","Unknown","24-Jun-19","TRES","Ithaca","Unit_4","61",NA,"12",21.5,25.4,49,6,"Fledged","","Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Day_12_nestling_278172491_12"
"345","P19NB23",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB23"
"346","P19N014","278172147","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","101","1","ASY",22.5,29,115,NA,"","","Unit_2_101_2019","Color_Stress","Pred_Dul",52,5,"Fledged",10.4,"Color_Stress_Pred_Dul","Adult_278172147_23-May-19"
"347","P19N065","272107803","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_4","87","1","ASY",23,28.2,115,NA,"","ibutton, egg photo","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Adult_272107803_30-May-19"
"348","P19N215","278172301","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_4","80","1","AHY",20.5,29.3,122,NA,"","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Adult_278172301_12-Jun-19"
"349","P19N263","156181153","2019","Adult","F","15-Jun-19","TRES","Ithaca","Unit_2","57","3","SY",17,26.8,112,NA,"","","Unit_2_57_2019","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con","Adult_156181153_15-Jun-19"
"350","P19N382","281128504","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","41",NA,"15",17.5,NA,NA,4,"Fledged","","Unit_2_41_2019","Color_Stress","Cont_Con",51,4,"Fledged",12.75,"Color_Stress_Cont_Con","Day_15_nestling_281128504_15"
"351","P19N450","281128752","2019","Nestling","Unknown","23-Jun-19","TRES","Ithaca","Unit_2","62",NA,"15",15.25,NA,NA,4,"Fledged","","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con","Day_15_nestling_281128752_15"
"352","L19N006a",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","3",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light","Day_6_nestling_Turkey_Hill_3_2019_L19N006a"
"353","P19N012","281128401","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","87","1","SY",20.25,28.1,112,NA,"","","Unit_2_87_2019","Color_Stress","Pred_Con",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Con","Adult_281128401_23-May-19"
"354","P19N020","272106913","2019","Adult","F","25-May-19","TRES","Ithaca","Unit_2","120","1","ASY",22,29.2,122.5,NA,"","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con","Adult_272106913_25-May-19"
"355","P19N099","272107290","2019","Adult","F","02-Jun-19","TRES","Ithaca","Turkey_Hill","97","1","ASY",24,27.5,117,NA,"","-Haematoma in both wings; could not get Dex bleed
-14 feathers / mites","Turkey_Hill_97_2019","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control","Adult_272107290_02-Jun-19"
"356","P19N310","278171894","2019","Adult","M","17-Jun-19","TRES","Ithaca","Unit_2","99","1","AHY",17.5,29,122,NA,"","","Unit_2_99_2019","Color_Stress","Cont_Con",36,4,"Fledged",9,"Color_Stress_Cont_Con","Adult_278171894_17-Jun-19"
"357","P19N390","281128756","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","105",NA,"12",14.5,24.6,44,5,"Fledged","","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul","Day_12_nestling_281128756_12"
"358","L19N007d",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Day_6_nestling_Turkey_Hill_106_2019_L19N007d"
"359","P19N096","272106728","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_2","54","1","ASY",23.5,28.1,116,NA,"","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Adult_272106728_02-Jun-19"
"360","P19N367","278172412","2019","Adult","F","19-Jun-19","TRES","Ithaca","Unit_4","61","3","SY",18.5,NA,NA,NA,"","","Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Adult_278172412_19-Jun-19"
"361","P19N431","281128525","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","78",NA,"12",20,25.3,47,3,"Fledged","","Unit_2_78_2019","Color_Stress","Cont_Con",29,3,"Fledged",9.66666666666667,"Color_Stress_Cont_Con","Day_12_nestling_281128525_12"
"362","P19NB17",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB17"
"363","P19NB24",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB24"
"364","L19N009a",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Turkey_Hill","51",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control","Day_6_nestling_Turkey_Hill_51_2019_L19N009a"
"365","P19N041","281128701","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_1","105","1","SY",22.5,28.8,114,NA,"","","Unit_1_105_2019","Color_Stress","Pred_Dul",65,5,"Fledged",13,"Color_Stress_Pred_Dul","Adult_281128701_28-May-19"
"366","P19N279","278172308","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Turkey_Hill","11",NA,"12",19,26.9,58,5,"Fledged","","Turkey_Hill_11_2019","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control","Day_12_nestling_278172308_12"
"367","P19N341","272107529","2019","Adult","M","18-Jun-19","TRES","Ithaca","Unit_1","86","1","AHY",19.25,27.8,121,NA,"","","Unit_1_86_2019","Color_Stress","Cont_Con",45,4,"Fledged",11.25,"Color_Stress_Cont_Con","Adult_272107529_18-Jun-19"
"368","P19N443","281128445","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","54",NA,"12",20.75,25,53,6,"Fledged","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Day_12_nestling_281128445_12"
"369","P19NB4",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB4"
"370","L19N011b",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_6_nestling_Unit_4_80_2019_L19N011b"
"371","P19N050","278172150","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","80","2","SY",20,NA,NA,NA,"","","Unit_2_80_2019","Color_Stress","Cont_Dul",70,6,"Fledged",11.6666666666667,"Color_Stress_Cont_Dul","Adult_278172150_29-May-19"
"372","P19N136","272106847","2019","Adult","M","07-Jun-19","TRES","Ithaca","Unit_2","109","1","AHY",18.5,28.8,121,NA,"","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul","Adult_272106847_07-Jun-19"
"373","P19N191","281128724","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",24.5,26.2,50,6,"Died","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Day_12_nestling_281128724_12"
"374","P19N299","278172319","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","97",NA,"12",24,26.5,57,5,"Fledged","","Unit_4_97_2019","Light","Light",67.27,5,"Fledged",13.454,"Light_Light","Day_12_nestling_278172319_12"
"375","P19N405","278172231","2019","Adult","F","21-Jun-19","TRES","Ithaca","Unit_1","19","1","SY",20.5,28.4,112,NA,"","Re-nest (previous nest: 34)
Experiment/Treatment: Color Stressor/Control-Control","Unit_1_19_2019","","",33,3,"",11,"Control","Adult_278172231_21-Jun-19"
"376","P19N508","281128782","2019","Nestling","Unknown","05-Jul-19","TRES","Ithaca","Unit_2","50",NA,"12",21,24.8,55,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_12_nestling_281128782_12"
"377","L19N013a",NA,"2019","Nestling",NA,"14-Jun-19","TRES","Ithaca","Turkey_Hill","86",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_86_2019","Light","Light_Control",61.21,5,"Predation",12.242,"Light_Light_Control","Day_6_nestling_Turkey_Hill_86_2019_L19N013a"
"378","P19N059","278171875","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","117","1","SY",21.5,27.8,116.5,NA,"","","Unit_2_117_2019","Color_Stress","Pred_Dul",51,6,"Fledged",8.5,"Color_Stress_Pred_Dul","Adult_278171875_30-May-19"
"379","P19N260","278172278","2019","Nestling","Unknown","14-Jun-19","TRES","Ithaca","Unit_2","116",NA,"12",15.5,24.5,50,5,"Fledged","","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con","Day_12_nestling_278172278_12"
"380","P19N328","278172438","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"12",24,25.9,54,6,"Fledged","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_12_nestling_278172438_12"
"381","P19N453","281128756","2019","Nestling","Unknown","23-Jun-19","TRES","Ithaca","Unit_2","105",NA,"15",15,NA,NA,5,"Fledged","","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul","Day_15_nestling_281128756_15"
"382","P19N501","169139088","2019","Adult","M","03-Jul-19","TRES","Ithaca","Unit_1","19","1","AHY",22,28.9,115,NA,"","","Unit_1_19_2019","","",33,3,"",11,"Control","Adult_169139088_03-Jul-19"
"383","P19NB21",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB21"
"384","L19N016a",NA,"2019","Nestling",NA,"17-Jun-19","TRES","Ithaca","Unit_4","95",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_95_2019","Light","Light",54,5,"Fledged",10.8,"Light_Light","Day_6_nestling_Unit_4_95_2019_L19N016a"
"385","P19N070","272107699","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","430","1","ASY",21.5,29.2,116,NA,"","","Unit_1_430_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_272107699_31-May-19"
"386","P19N151","281128602","2019","Adult","F","08-Jun-19","TRES","Ithaca","Unit_2","85","2","ASY",21.5,NA,NA,NA,"","","Unit_2_85_2019","Color_Stress","Cont_Dul",50.5,5,"Fledged",10.1,"Color_Stress_Cont_Dul","Adult_281128602_08-Jun-19"
"387","P19N246","278171888","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","109",NA,"12",17.5,25.5,51,5,"Died","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul","Day_12_nestling_278171888_12"
"388","P19N275","281128743","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Unit_1","105",NA,"12",16.5,24.8,42,5,"Fledged","","Unit_1_105_2019","Color_Stress","Pred_Dul",65,5,"Fledged",13,"Color_Stress_Pred_Dul","Day_12_nestling_281128743_12"
"389","P19N356","278172447","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","80",NA,"12",21.5,25.9,56,6,"Fledged","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_12_nestling_278172447_12"
"390","L19N018d",NA,"2019","Nestling",NA,"19-Jun-19","TRES","Ithaca","Unit_4","61",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Day_6_nestling_Unit_4_61_2019_L19N018d"
